constructorId,timesWon,constructorRef,name,nationality,url,appearances,winRate
4.0,1,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,21,0.047619047619047616
32.0,1,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,32,0.03125
172.0,1,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,7,0.14285714285714285
180.0,1,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,6,0.16666666666666666
196.0,1,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,2,0.5
25.0,2,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,32,0.0625
170.0,2,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,9,0.2222222222222222
191.0,2,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,4,0.5
66.0,3,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,23,0.13043478260869565
9.0,4,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,13,0.3076923076923077
131.0,4,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,10,0.4
3.0,6,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,36,0.16666666666666666
1.0,7,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,42,0.16666666666666666
6.0,19,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,62,0.3064516129032258
