circuitId,circuitRef,name,location,country,incidentCount
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,159
14,monza,Autodromo Nazionale di Monza,Monza,Italy,94
20,nurburgring,NÌ_rburgring,NÌ_rburg,Germany,91
9,silverstone,Silverstone Circuit,Silverstone,UK,90
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,84
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,84
18,interlagos,AutÌ_dromo JosÌ© Carlos Pace,SÌ£o Paulo,Brazil,69
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,65
4,catalunya,Circuit de Barcelona-Catalunya,MontmelÌ_,Spain,52
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52
23,osterreichring,A1-Ring,Spielburg,Austria,51
22,suzuka,Suzuka Circuit,Suzuka,Japan,48
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,47
10,hockenheimring,Hockenheimring,Hockenheim,Germany,46
11,hungaroring,Hungaroring,Budapest,Hungary,42
43,long_beach,Long Beach,California,USA,41
40,zolder,Zolder,Heusden-Zolder,Belgium,39
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,37
30,kyalami,Kyalami,Midrand,South Africa,31
25,galvez,AutÌ_dromo Juan y Oscar GÌÁlvez,Buenos Aires,Argentina,30
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,30
37,detroit,Detroit Street Circuit,Detroit,USA,28
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,28
46,watkins_glen,Watkins Glen,New York State,USA,28
38,brands_hatch,Brands Hatch,Kent,UK,27
35,yeongam,Korean International Circuit,Yeongam County,Korea,24
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,23
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,21
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,20
17,shanghai,Shanghai International Circuit,Shanghai,China,20
48,mosport,Mosport International Raceway,Ontario,Canada,19
36,jacarepagua,AutÌ_dromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,18
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,16
32,rodriguez,AutÌ_dromo Hermanos RodrÌ_guez,Mexico City,Mexico,16
45,jarama,Jarama,Madrid,Spain,16
68,buddh,Buddh International Circuit,Uttar Pradesh,India,16
5,istanbul,Istanbul Park,Istanbul,Turkey,15
12,valencia,Valencia Street Circuit,Valencia,Spain,15
71,sochi,Sochi Autodrom,Sochi,Russia,13
34,ricard,Circuit Paul Ricard,Le Castellet,France,12
41,dijon,Dijon-Prenois,Dijon,France,11
27,estoril,AutÌ_dromo do Estoril,Estoril,Portugal,11
49,montjuic,MontjuÌøc,Barcelona,Spain,10
69,americas,Circuit of the Americas,Austin,USA,9
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,8
53,essarts,Rouen-Les-Essarts,Rouen,France,7
55,reims,Reims-Gueux,Reims,France,7
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,7
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,7
16,fuji,Fuji Speedway,Oyama,Japan,6
70,red_bull_ring,Red Bull Ring,Spielburg,Austria,5
64,ain-diab,Ain Diab,Casablanca,Morocco,5
50,nivelles,Nivelles-Baulers,Brussels,Belgium,5
73,BAK,Baku City Circuit,Baku,Azerbaijan,5
58,aintree,Aintree,Liverpool,UK,4
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,3
51,charade,Charade Circuit,Clermont-Ferrand,France,3
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,3
59,boavista,Circuito da Boavista,Oporto,Portugal,2
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,2
57,zeltweg,Zeltweg,Styria,Austria,2
65,pescara,Pescara Circuit,Pescara,Italy,2
56,george,Prince George Circuit,Eastern Cape Province,South Africa,2
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,2
60,riverside,Riverside International Raceway,California,USA,1
61,avus,AVUS,Berlin,Germany,1
63,sebring,Sebring International Raceway,Florida,USA,1
42,dallas,Fair Park,Dallas,USA,1
