circuitId,circuitName,fastestLapTimeSeconds
1,Albert Park Grand Prix Circuit,84.125
2,Sepang International Circuit,94.08
3,Bahrain International Circuit,90.252
4,Circuit de Barcelona-Catalunya,75.641
5,Istanbul Park,84.77
6,Circuit de Monaco,74.439
7,Circuit Gilles Villeneuve,73.622
8,Circuit de Nevers Magny-Cours,75.045
9,Silverstone Circuit,78.739
10,Hockenheimring,73.78
11,Hungaroring,76.207
12,Valencia Street Circuit,98.683
13,Circuit de Spa-Francorchamps,105.108
14,Autodromo Nazionale di Monza,81.046
15,Marina Bay Street Circuit,105.0
16,Fuji Speedway,78.426
17,Shanghai International Circuit,92.238
18,AutÌ_dromo JosÌ© Carlos Pace,71.0
19,Indianapolis Motor Speedway,70.399
20,NÌ_rburgring,78.354
21,Autodromo Enzo e Dino Ferrari,80.411
22,Suzuka Circuit,91.54
23,A1-Ring,68.337
24,Yas Marina Circuit,100.279
25,AutÌ_dromo Juan y Oscar GÌÁlvez,87.981
26,Circuito de Jerez,83.135
27,AutÌ_dromo do Estoril,82.873
32,AutÌ_dromo Hermanos RodrÌ_guez,78.785
35,Korean International Circuit,99.6
68,Buddh International Circuit,87.2
69,Circuit of the Americas,97.766
70,Red Bull Ring,67.4
71,Sochi Autodrom,96.8
73,Baku City Circuit,103.4
