resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1.0,1.0,1.0,1.0,22.0,1.0,1.0,1,1.0,10.0,58.0,34:50.6,5690616.0,39.0,2.0,1:29.020,218.3,1.0
2.0,1.0,2.0,2.0,3.0,5.0,2.0,2,2.0,8.0,58.0,5.478,5696094.0,41.0,3.0,1:28.283,217.586,1.0
3.0,1.0,3.0,3.0,7.0,7.0,3.0,3,3.0,6.0,58.0,8.163,5698779.0,41.0,5.0,1:27.706,216.719,1.0
4.0,1.0,4.0,4.0,5.0,11.0,4.0,4,4.0,5.0,58.0,17.181,5707797.0,58.0,7.0,1:28.712,215.464,1.0
5.0,1.0,6.0,1.0,23.0,3.0,5.0,5,5.0,4.0,58.0,18.014,5708630.0,43.0,1.0,1:29.923,218.385,1.0
6.0,1.0,7.0,3.0,8.0,13.0,6.0,6,6.0,3.0,57.0,,,50.0,14.0,1:29.823,212.974,11.0
7.0,1.0,8.0,5.0,14.0,17.0,7.0,7,7.0,2.0,55.0,,,22.0,12.0,1:28.488,213.224,5.0
8.0,1.0,9.0,6.0,1.0,15.0,8.0,8,8.0,1.0,53.0,,,20.0,4.0,1:27.988,217.18,5.0
9.0,1.0,10.0,2.0,4.0,2.0,,R,9.0,0.0,47.0,,,15.0,9.0,1:28.416,215.1,4.0
10.0,1.0,12.0,7.0,12.0,18.0,,R,10.0,0.0,43.0,,,23.0,13.0,1:30.502,213.166,3.0
11.0,1.0,13.0,8.0,18.0,19.0,,R,11.0,0.0,32.0,,,24.0,15.0,1:29.141,210.038,7.0
12.0,1.0,15.0,4.0,6.0,20.0,,R,12.0,0.0,30.0,,,20.0,16.0,1:28.916,208.907,8.0
13.0,1.0,16.0,6.0,2.0,4.0,,R,13.0,0.0,29.0,,,23.0,6.0,1:28.943,216.51,5.0
14.0,1.0,17.0,9.0,9.0,8.0,,R,14.0,0.0,25.0,,,21.0,11.0,1:28.508,213.3,4.0
15.0,1.0,18.0,7.0,11.0,6.0,,R,15.0,0.0,19.0,,,18.0,10.0,1:28.020,213.758,10.0
16.0,1.0,20.0,10.0,20.0,22.0,,R,16.0,0.0,8.0,,,8.0,17.0,1:28.140,207.461,9.0
17.0,1.0,21.0,9.0,10.0,14.0,,R,17.0,0.0,0.0,,,,,1:29.005,,4.0
18.0,1.0,22.0,11.0,16.0,12.0,,R,18.0,0.0,0.0,,,,,1:29.066,,4.0
19.0,1.0,67.0,8.0,19.0,21.0,,R,19.0,0.0,0.0,,,,,1:29.230,,4.0
20.0,2.0,1.0,5.0,15.0,9.0,,R,20.0,0.0,0.0,,,,,1:39.141,,4.0
21.0,2.0,2.0,10.0,21.0,16.0,,R,21.0,0.0,0.0,,,,,1:39.084,,4.0
22.0,2.0,3.0,11.0,17.0,10.0,,D,22.0,0.0,58.0,,,44.0,8.0,1:37.598,215.141,2.0
23.0,2.0,4.0,6.0,1.0,2.0,1.0,1,1.0,10.0,56.0,31:18.6,5478555.0,37.0,2.0,1:39.006,209.158,1.0
24.0,2.0,6.0,2.0,4.0,4.0,2.0,2,2.0,8.0,56.0,19.57,5498125.0,39.0,6.0,1:39.387,208.033,1.0
25.0,2.0,7.0,1.0,23.0,8.0,3.0,3,3.0,6.0,56.0,38.45,5517005.0,19.0,7.0,1:39.242,208.031,1.0
26.0,2.0,8.0,7.0,11.0,3.0,4.0,4,4.0,5.0,56.0,45.832,5524387.0,53.0,8.0,1:38.453,207.715,1.0
27.0,2.0,9.0,1.0,22.0,9.0,5.0,5,5.0,4.0,56.0,46.548,5525103.0,53.0,3.0,2:02.738,209.033,1.0
28.0,2.0,10.0,2.0,3.0,5.0,6.0,6,6.0,3.0,56.0,49.833,5528388.0,55.0,1.0,1:39.406,209.244,1.0
29.0,2.0,12.0,9.0,10.0,6.0,7.0,7,7.0,2.0,56.0,+1:08.130,5546685.0,53.0,12.0,1:39.268,206.366,1.0
30.0,2.0,13.0,4.0,5.0,7.0,8.0,8,8.0,1.0,56.0,+1:10.041,5548596.0,40.0,10.0,1:39.250,207.24,1.0
31.0,2.0,15.0,9.0,9.0,12.0,9.0,9,9.0,0.0,56.0,+1:16.220,5554775.0,55.0,9.0,1:37.591,207.417,1.0
32.0,2.0,16.0,11.0,16.0,11.0,10.0,10,10.0,0.0,56.0,+1:26.214,5564769.0,56.0,4.0,1:39.464,208.481,1.0
33.0,2.0,17.0,4.0,6.0,13.0,11.0,11,11.0,0.0,56.0,+1:32.202,5570757.0,52.0,15.0,1:37.672,205.812,1.0
34.0,2.0,18.0,10.0,21.0,17.0,12.0,12,12.0,0.0,55.0,,,52.0,16.0,1:36.641,205.8,11.0
35.0,2.0,20.0,11.0,17.0,14.0,13.0,13,13.0,0.0,55.0,,,55.0,11.0,1:38.427,206.372,11.0
36.0,2.0,21.0,3.0,7.0,16.0,14.0,14,14.0,0.0,55.0,,,55.0,13.0,1:39.407,206.182,11.0
37.0,2.0,22.0,8.0,19.0,21.0,15.0,15,15.0,0.0,55.0,,,55.0,18.0,1:37.484,203.265,11.0
38.0,2.0,67.0,8.0,18.0,19.0,16.0,16,16.0,0.0,54.0,,,53.0,19.0,1:38.938,202.578,12.0
39.0,3.0,1.0,3.0,8.0,22.0,17.0,17,17.0,0.0,54.0,,,19.0,17.0,1:54.665,204.222,12.0
40.0,3.0,2.0,5.0,15.0,15.0,,R,18.0,0.0,39.0,,,37.0,14.0,1:54.158,205.995,5.0
41.0,3.0,3.0,6.0,2.0,1.0,,R,19.0,0.0,30.0,,,15.0,5.0,1:54.243,208.048,20.0
42.0,3.0,4.0,10.0,20.0,20.0,,R,20.0,0.0,5.0,,,3.0,20.0,1:54.481,198.891,9.0
43.0,3.0,5.0,7.0,12.0,10.0,,R,21.0,0.0,1.0,,,,,1:54.516,,4.0
44.0,3.0,6.0,5.0,14.0,18.0,,R,22.0,0.0,0.0,,,,,1:56.167,,20.0
45.0,3.0,7.0,6.0,2.0,2.0,1.0,1,1.0,10.0,57.0,31:07.0,5466970.0,38.0,3.0,1:53.474,208.153,1.0
46.0,3.0,8.0,6.0,1.0,4.0,2.0,2,2.0,8.0,57.0,3.339,5470309.0,35.0,4.0,1:55.396,207.911,1.0
47.0,3.0,9.0,2.0,4.0,1.0,3.0,3,3.0,6.0,57.0,4.998,5471968.0,55.0,5.0,1:55.350,207.765,1.0
48.0,3.0,10.0,2.0,3.0,6.0,4.0,4,4.0,5.0,57.0,8.409,5475379.0,48.0,2.0,1:52.703,208.231,1.0
49.0,3.0,12.0,1.0,23.0,5.0,5.0,5,5.0,4.0,57.0,26.789,5493759.0,49.0,1.0,1:55.535,209.062,1.0
50.0,3.0,13.0,7.0,11.0,7.0,6.0,6,6.0,3.0,57.0,41.314,5508284.0,45.0,7.0,1:56.484,206.819,1.0
51.0,3.0,15.0,9.0,10.0,11.0,7.0,7,7.0,2.0,57.0,45.473,5512443.0,51.0,8.0,2:00.330,206.597,1.0
52.0,3.0,16.0,3.0,7.0,8.0,8.0,8,8.0,1.0,57.0,55.889,5522859.0,57.0,6.0,1:54.777,207.109,1.0
53.0,3.0,17.0,7.0,12.0,13.0,9.0,9,9.0,0.0,57.0,+1:09.500,5536470.0,56.0,9.0,1:52.980,205.503,1.0
54.0,3.0,18.0,4.0,5.0,10.0,10.0,10,10.0,0.0,57.0,+1:17.181,5544151.0,35.0,13.0,1:53.546,204.668,1.0
55.0,3.0,20.0,11.0,17.0,12.0,11.0,11,11.0,0.0,57.0,+1:17.862,5544832.0,40.0,10.0,1:52.627,205.399,1.0
56.0,3.0,21.0,10.0,21.0,18.0,12.0,12,12.0,0.0,56.0,,,56.0,11.0,1:56.239,204.963,11.0
57.0,3.0,22.0,1.0,22.0,3.0,13.0,13,13.0,0.0,56.0,,,25.0,19.0,1:52.592,203.969,11.0
58.0,3.0,67.0,3.0,8.0,16.0,14.0,14,14.0,0.0,56.0,,,30.0,17.0,1:54.590,204.155,11.0
59.0,4.0,1.0,5.0,14.0,15.0,15.0,15,15.0,0.0,56.0,,,33.0,15.0,1:34.915,204.369,11.0
60.0,4.0,2.0,8.0,19.0,21.0,16.0,16,16.0,0.0,56.0,,,45.0,14.0,1:35.924,204.389,11.0
61.0,4.0,3.0,8.0,18.0,22.0,17.0,17,17.0,0.0,56.0,,,56.0,20.0,1:35.816,203.18,11.0
62.0,4.0,4.0,9.0,9.0,17.0,18.0,18,18.0,0.0,56.0,,,43.0,16.0,1:35.722,204.331,11.0
63.0,4.0,5.0,10.0,20.0,20.0,19.0,19,19.0,0.0,56.0,,,55.0,18.0,1:35.520,204.136,12.0
64.0,4.0,6.0,4.0,6.0,14.0,,R,20.0,0.0,40.0,,,31.0,12.0,1:36.153,204.808,6.0
65.0,4.0,7.0,11.0,16.0,9.0,,R,21.0,0.0,19.0,,,11.0,21.0,1:35.410,202.686,4.0
66.0,4.0,8.0,5.0,15.0,19.0,,R,22.0,0.0,0.0,,,,,1:35.498,,5.0
67.0,4.0,9.0,6.0,1.0,1.0,1.0,1,1.0,10.0,66.0,38:19.1,5899051.0,46.0,1.0,1:35.706,205.191,1.0
68.0,4.0,10.0,6.0,2.0,3.0,2.0,2,2.0,8.0,66.0,3.228,5902279.0,45.0,2.0,1:34.574,204.863,1.0
69.0,4.0,12.0,1.0,22.0,5.0,3.0,3,3.0,6.0,66.0,4.187,5903238.0,20.0,3.0,1:35.441,204.323,1.0
70.0,4.0,13.0,2.0,4.0,4.0,4.0,4,4.0,5.0,66.0,5.694,5904745.0,20.0,4.0,1:35.065,204.102,1.0
71.0,4.0,15.0,9.0,10.0,7.0,5.0,5,5.0,4.0,66.0,35.938,5934989.0,19.0,8.0,1:34.556,202.969,1.0
72.0,4.0,16.0,11.0,16.0,13.0,6.0,6,6.0,3.0,66.0,53.01,5952061.0,66.0,5.0,1:36.219,203.489,1.0
73.0,4.0,17.0,3.0,8.0,12.0,7.0,7,7.0,2.0,66.0,58.244,5957295.0,48.0,15.0,1:35.165,200.576,1.0
